symbol,date,open,high,low,close,volume,change,changePercent,vwap
AAPL,09-03-2026,255.69,261.15,253.68,259.88,38218533,4.19,1.64,257.6
AAPL,06-03-2026,258.63,258.77,254.37,257.46,41120042,-1.17,-0.45238,257.3075
AAPL,05-03-2026,260.79,261.56,257.25,260.29,49658626,-0.5,-0.19173,259.9725
AAPL,04-03-2026,264.65,266.15,261.42,262.52,39803119,-2.13,-0.80484,263.685
AAPL,03-03-2026,263.48,265.56,260.13,263.75,38568921,0.27,0.10247,263.23
AAPL,02-03-2026,262.41,266.53,260.2,264.72,41827946,2.31,0.8803,263.465
AAPL,27-02-2026,272.81,272.81,262.89,264.18,72366505,-8.63,-3.16,268.1725
AAPL,26-02-2026,274.95,276.11,270.8,272.95,32345114,-2,-0.7274,273.7025
AAPL,25-02-2026,271.78,274.94,271.05,274.23,33714342,2.45,0.90146,273
AAPL,24-02-2026,267.86,274.89,267.71,272.14,47014619,4.28,1.6,270.65
AAPL,23-02-2026,263.49,269.43,263.38,266.18,37308200,2.69,1.02,265.62
AAPL,20-02-2026,258.97,264.75,258.16,264.58,42070500,5.61,2.17,261.615
AAPL,19-02-2026,262.6,264.48,260.05,260.58,30845300,-2.02,-0.76923,261.9275
AAPL,18-02-2026,263.6,266.82,262.45,264.35,34203337,0.75,0.28452,264.305
AAPL,17-02-2026,258.05,266.29,255.54,263.88,58469100,5.83,2.26,260.94
AAPL,13-02-2026,262.01,262.23,255.45,255.78,56290700,-6.23,-2.38,258.8675
AAPL,12-02-2026,275.59,275.72,260.18,261.73,81077229,-13.86,-5.03,268.305
AAPL,11-02-2026,274.7,280.18,274.45,275.5,51931300,0.805,0.29123,276.2075
AAPL,10-02-2026,274.89,275.37,272.94,273.68,34376900,-1.2,-0.44018,274.22
AAPL,09-02-2026,277.9,278.2,271.7,274.62,44623400,-3.28,-1.18,275.605
AAPL,06-02-2026,277.12,280.9,276.93,278.12,50453414,1,0.36085,278.2675
AAPL,05-02-2026,278.13,279.5,273.23,275.91,52977441,-2.22,-0.79819,276.6925
AAPL,04-02-2026,272.29,278.95,272.29,276.49,90545710,4.2,1.54,275.005
AAPL,03-02-2026,269.2,271.88,267.61,269.48,64394700,0.28,0.10401,269.5425
AAPL,02-02-2026,260.03,270.49,259.21,270.01,73913425,9.98,3.84,264.935
AAPL,30-01-2026,255.17,261.9,252.18,259.48,92443408,4.32,1.69,257.1825
AAPL,29-01-2026,258,259.65,254.41,258.28,67253009,0.28,0.10853,257.585
AAPL,28-01-2026,257.65,258.86,254.51,256.44,41288000,-1.21,-0.46963,256.865
AAPL,27-01-2026,259.17,261.95,258.21,258.27,49648300,-0.9,-0.34726,259.4
AAPL,26-01-2026,251.48,256.56,249.8,255.41,55969234,3.93,1.56,253.3125
AAPL,23-01-2026,247.32,249.41,244.68,248.04,41689000,0.72,0.29112,247.3625
AAPL,22-01-2026,249.2,251,248.15,248.35,39708340,-0.85,-0.34109,249.175
AAPL,21-01-2026,248.7,251.56,245.18,247.65,54641725,-1.05,-0.4222,248.2725
AAPL,20-01-2026,252.73,254.79,243.42,246.7,80267517,-6.03,-2.39,249.41
AAPL,16-01-2026,257.9,258.9,254.93,255.53,72142800,-2.37,-0.91896,256.815
AAPL,15-01-2026,260.65,261.04,257.05,258.21,39388600,-2.44,-0.93612,259.2375
AAPL,14-01-2026,259.49,261.82,256.71,259.96,40019421,0.47,0.18112,259.495
AAPL,13-01-2026,258.72,261.81,258.39,261.05,45730847,2.33,0.90059,259.9925
AAPL,12-01-2026,259.16,261.3,256.8,260.25,45263800,1.09,0.42059,259.3775
AAPL,09-01-2026,259.08,260.21,256.22,259.37,39997000,0.295,0.11193,258.72
AAPL,08-01-2026,257.02,259.29,255.7,259.04,50419337,2.02,0.78593,257.7625
AAPL,07-01-2026,263.2,263.68,259.81,260.33,48309804,-2.87,-1.09,261.755
AAPL,06-01-2026,267,267.55,262.12,262.36,52352100,-4.64,-1.74,264.7575
AAPL,05-01-2026,270.64,271.51,266.14,267.26,45647200,-3.38,-1.25,268.8875
AAPL,02-01-2026,272.26,277.84,269,271.01,37838100,-1.25,-0.45912,272.5275
AAPL,31-12-2025,273.06,273.68,271.75,271.86,27293639,-1.2,-0.43946,272.5875
AAPL,30-12-2025,272.81,274.08,272.28,273.08,22139617,0.27,0.09896998,273.0625
AAPL,29-12-2025,272.69,274.36,272.35,273.76,23715213,1.07,0.39239,273.29
AAPL,26-12-2025,274.16,275.37,272.86,273.4,21521802,-0.76,-0.27721,273.9475
AAPL,24-12-2025,272.34,275.43,272.2,273.81,17910600,1.47,0.53977,273.445
AAPL,23-12-2025,270.84,272.5,269.56,272.36,29642000,1.52,0.56122,271.315
AAPL,22-12-2025,272.86,273.88,270.51,270.97,36571827,-1.89,-0.69266,272.055
AAPL,19-12-2025,272.15,274.6,269.9,273.67,144632048,1.53,0.55852,272.58
